corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
nciw,45,0,99,0
lsid,36,234,541,0
pwls,23,555,23,0
bqlx,15,11,190,0
zmei,100,2929,999,0
wosl,2,1,1359,0
xcvb,0,14,282,0
dfgh,500,40,949,0
ngrd,1234,103,3782,0
xful,98765,7,655,0
kshe,34,2345,18,0
abcd,99,871,3,1
asdf,1243,0,10,1
xyzz,0,25,11,1
acme,813,129,9,1
qwer,2989,9982,90,1
tyui,395,190,99,1
zxcv,19028,999,81,1
hjkl,345,78,2,1
lmno,1024,14,3,1
qqqq,2145,182,110,1
corp,3891,101,998,1
ekci,10983,0,1200,1
dosk,118,929,81,1
endi,1992,19,2,1
gudj,455,94,298,1
